# Дополнение к списку торговых наименований.
# name	inn	form	strength	unit

# --- Сердце и сосуды ---
Трайкор	Фенофибрат	TABLET	145	MG

# --- Мочегонные ---
Лазикс	Фуросемид	TABLET	40	MG
Диувер	Торасемид	TABLET	5	MG
Арифон ретард	Индапамид	TABLET	1,5	MG
Гипотиазид	Гидрохлоротиазид	TABLET	25	MG
Инспра	Эплеренон	TABLET	25	MG

# --- Диабет ---
Форметин	Метформин	TABLET	850	MG
Глюкофаж Лонг	Метформин	TABLET	750	MG
Амарил	Глимепирид	TABLET	2	MG
Манинил	Глибенкламид	TABLET	3,5	MG
Новонорм	Репаглинид	TABLET	1	MG
Глюкобай	Акарбоза	TABLET	50	MG
Галвус	Вилдаглиптин	TABLET	50	MG
Янувия	Ситаглиптин	TABLET	100	MG
Тражента	Линаглиптин	TABLET	5	MG
Форсига	Дапаглифлозин	TABLET	10	MG

# --- Щитовидная железа ---
Мерказолил	Тиамазол	TABLET	5	MG
Йодбаланс	Калия йодид	TABLET	100	MG

# --- Желудок и кишечник ---
Париет	Рабепразол	TABLET	20	MG
Разо	Рабепразол	TABLET	20	MG
Ланзап	Лансопразол	CAPSULE	30	MG
Дексилант	Декслансопразол	CAPSULE	30	MG
Ультоп	Омепразол	CAPSULE	20	MG
Мотилиум	Домперидон	TABLET	10	MG
Мотилак	Домперидон	TABLET	10	MG
Церукал	Метоклопрамид	TABLET	10	MG
Ганатон	Итоприд	TABLET	50	MG
Тримедат	Тримебутин	TABLET	200	MG
Дюспаталин	Мебеверин	CAPSULE	200	MG
Ренни	Кальция карбонат + магния карбонат	TABLET
Эспумизан	Симетикон	CAPSULE	40	MG
Энтерофурил	Нифуроксазид	CAPSULE	200	MG
Лактофильтрум	Лигнин + лактулоза	TABLET
Форлакс	Макрогол	POWDER	10	G
Микролакс	Натрия цитрат + натрия лаурилсульфоацетат	OTHER
Бисакодил	Бисакодил	TABLET	5	MG
Сенаде	Сеннозиды A и B	TABLET
Гутталакс	Натрия пикосульфат	DROPS
Гептрал	Адеметионин	TABLET	400	MG
Карсил	Силимарин	TABLET	35	MG
Хофитол	Артишока экстракт	TABLET
Аллохол	Желчь + растительные экстракты	TABLET
Мезим 20000	Панкреатин	TABLET	20000	IU
Пангрол	Панкреатин	CAPSULE	10000	IU
Эрмиталь	Панкреатин	CAPSULE	10000	IU
Максилак	Пробиотик	CAPSULE
Аципол	Пробиотик	CAPSULE
Энтерол	Пробиотик	CAPSULE
Нормобакт	Пробиотик	POWDER

# --- Аллергия ---
Цетрин	Цетиризин	TABLET	10	MG
Ксизал	Левоцетиризин	TABLET	5	MG
Супрастинекс	Левоцетиризин	TABLET	5	MG
Аллегра	Фексофенадин	TABLET	120	MG
Телфаст	Фексофенадин	TABLET	120	MG
Дезал	Дезлоратадин	TABLET	5	MG
Лордестин	Дезлоратадин	TABLET	5	MG
Диазолин	Мебгидролин	TABLET	100	MG
Кетотифен	Кетотифен	TABLET	1	MG

# --- Противомикробные ---
Аугментин	Амоксициллин + клавулановая кислота	TABLET
Флемоклав Солютаб	Амоксициллин + клавулановая кислота	TABLET
Азитрокс	Азитромицин	CAPSULE	500	MG
Хемомицин	Азитромицин	CAPSULE	500	MG
Клацид	Кларитромицин	TABLET	500	MG
Вильпрафен	Джозамицин	TABLET	500	MG
Юнидокс Солютаб	Доксициклин	TABLET	100	MG
Ципролет	Ципрофлоксацин	TABLET	500	MG
Таваник	Левофлоксацин	TABLET	500	MG
Леволет	Левофлоксацин	TABLET	500	MG
Нолицин	Норфлоксацин	TABLET	400	MG
Зиннат	Цефуроксим	TABLET	250	MG
Панцеф	Цефиксим	TABLET	400	MG
Цефалексин	Цефалексин	CAPSULE	500	MG
Бисептол	Ко-тримоксазол	TABLET
Фурамаг	Фуразидин	CAPSULE	50	MG
Макмирор	Нифурател	TABLET	200	MG
Трихопол	Метронидазол	TABLET	250	MG
Вермокс	Мебендазол	TABLET	100	MG
Немозол	Албендазол	TABLET	400	MG
Пирантел	Пирантел	SUSPENSION
Дифлюкан	Флуконазол	CAPSULE	150	MG
Микосист	Флуконазол	CAPSULE	150	MG
Орунгал	Итраконазол	CAPSULE	100	MG
Ирунин	Итраконазол	CAPSULE	100	MG
Валтрекс	Валацикловир	TABLET	500	MG
Ацикловир Акри	Ацикловир	TABLET	200	MG

# --- Боль и суставы ---
Нимулид	Нимесулид	TABLET	100	MG
Аркоксиа	Эторикоксиб	TABLET	90	MG
Целебрекс	Целекоксиб	CAPSULE	200	MG
Аэртал	Ацеклофенак	TABLET	100	MG
Дексалгин	Декскетопрофен	TABLET	25	MG
Ксефокам	Лорноксикам	TABLET	8	MG
Артрозан	Мелоксикам	TABLET	15	MG
Амелотекс	Мелоксикам	TABLET	15	MG
Ортофен	Диклофенак	TABLET	50	MG
Диклак	Диклофенак	TABLET	50	MG
Налгезин	Напроксен	TABLET	275	MG
Ибуклин	Ибупрофен + парацетамол	TABLET
Максиколд	Парацетамол	POWDER
Терафлекс	Глюкозамин + хондроитин	CAPSULE
Артра	Глюкозамин + хондроитин	TABLET
Дона	Глюкозамин	POWDER	1500	MG
Структум	Хондроитина сульфат	CAPSULE	500	MG
Аденурик	Фебуксостат	TABLET	80	MG

# --- Нервная система ---
Фенибут	Аминофенилмасляная кислота	TABLET	250	MG
Пантогам	Гопантеновая кислота	TABLET	250	MG
Ноотропил	Пирацетам	TABLET	800	MG
Фезам	Пирацетам + циннаризин	CAPSULE
Циннаризин	Циннаризин	TABLET	25	MG
Вестибо	Бетагистин	TABLET	24	MG
Танакан	Гинкго двулопастного листьев экстракт	TABLET	40	MG
Церетон	Холина альфосцерат	CAPSULE	400	MG
Глиатилин	Холина альфосцерат	CAPSULE	400	MG
Кортексин	Пептидный препарат	INJECTION
Донормил	Доксиламин	TABLET	15	MG
Грандаксин	Тофизопам	TABLET	50	MG
Тенотен	Антитела к белку S-100	TABLET
Рексетин	Пароксетин	TABLET	20	MG
Ципралекс	Эсциталопрам	TABLET	10	MG
Феварин	Флувоксамин	TABLET	100	MG
Велаксин	Венлафаксин	CAPSULE	75	MG
Амитриптилин	Амитриптилин	TABLET	25	MG
Ламотриджин	Ламотриджин	TABLET	100	MG
Депакин Хроно	Вальпроевая кислота	TABLET	500	MG
Финлепсин	Карбамазепин	TABLET	200	MG
Кеппра	Леветирацетам	TABLET	500	MG
Нейронтин	Габапентин	CAPSULE	300	MG
Лирика	Прегабалин	CAPSULE	75	MG
Катадолон	Флупиртин	CAPSULE	100	MG

# --- Дыхание ---
Аскорил	Комбинированный	SYRUP
Синекод	Бутамират	DROPS
Коделак Нео	Бутамират	SYRUP
Либексин	Преноксдиазин	TABLET	100	MG
Сингуляр	Монтелукаст	TABLET	10	MG
Монтелар	Монтелукаст	TABLET	10	MG
Серетид	Сальметерол + флутиказон	INHALER
Атровент	Ипратропия бромид	INHALER
Спирива	Тиотропия бромид	INHALER
Кленил	Беклометазон	INHALER
Ринонорм	Ксилометазолин	SPRAY
Отривин	Ксилометазолин	SPRAY
Снуп	Ксилометазолин	SPRAY
Назонекс	Мометазон	SPRAY
Авамис	Флутиказон	SPRAY
Полидекса с фенилэфрином	Комбинированный	SPRAY
Ринофлуимуцил	Комбинированный	SPRAY

# --- Урология и гинекология ---
Простамол Уно	Сереноа ползучая	CAPSULE	320	MG
Аводарт	Дутастерид	CAPSULE	0,5	MG
Пенестер	Финастерид	TABLET	5	MG
Витапрост	Пептидный препарат	SUPPOSITORY
Цистон	Растительный	TABLET
Фитолизин	Растительный	OINTMENT
Логест	Комбинированный	TABLET
Новинет	Комбинированный	TABLET
Жанин	Комбинированный	TABLET
Клайра	Комбинированный	TABLET
Фемостон	Комбинированный	TABLET
Тержинан	Комбинированный	SUPPOSITORY
Пимафуцин	Натамицин	SUPPOSITORY	100	MG
Ливарол	Кетоконазол	SUPPOSITORY	400	MG
Полижинакс	Комбинированный	CAPSULE
Гексикон	Хлоргексидин	SUPPOSITORY	16	MG

# --- Глаза и уши ---
Офтагель	Карбомер	DROPS
Корнерегель	Декспантенол	OINTMENT
Артелак	Гипромеллоза	DROPS
Ирифрин	Фенилэфрин	DROPS
Азопт	Бринзоламид	DROPS
Ксалатан	Латанопрост	DROPS
Тимолол	Тимолол	DROPS
Тобрадекс	Тобрамицин + дексаметазон	DROPS
Окомистин	Бензилдиметил	DROPS
Отинум	Холина салицилат	DROPS
Кандибиотик	Комбинированный	DROPS

# --- Кожа ---
Локоид	Гидрокортизон	OINTMENT
Элоком	Мометазон	OINTMENT
Целестодерм-В	Бетаметазон	OINTMENT
Тридерм	Комбинированный	OINTMENT
Пимафукорт	Комбинированный	OINTMENT
Скин-кап	Пиритион цинка	SPRAY
Солкосерил	Депротеинизированный гемодериват	OINTMENT
Экзодерил	Нафтифин	OINTMENT
Микозорал	Кетоконазол	OINTMENT
Низорал	Кетоконазол	OINTMENT
Зинерит	Эритромицин + цинк	OTHER
Базирон АС	Бензоила пероксид	OINTMENT
Дифферин	Адапален	OINTMENT
Скинорен	Азелаиновая кислота	OINTMENT
Циндол	Цинка оксид	OTHER
Метрогил	Метронидазол	OINTMENT
Фукорцин	Комбинированный	OTHER
Судокрем	Цинка оксид	OINTMENT

# --- Витамины и минералы ---
Детримакс	Колекальциферол	TABLET
Магнерот	Магния оротат	TABLET	500	MG
Мильгамма	Витамины группы B	INJECTION
Нейромультивит	Витамины группы B	TABLET
Комбилипен	Витамины группы B	INJECTION
Аскорутин	Аскорбиновая кислота + рутозид	TABLET
Кальцемин	Кальций + колекальциферол	TABLET
Элевит Пронаталь	Витаминный комплекс	TABLET
Витрум	Витаминный комплекс	TABLET
Фемибион	Витаминный комплекс	TABLET
Ферретаб	Железа фумарат	CAPSULE
Тардиферон	Железа сульфат	TABLET	80	MG
Актиферрин	Железа сульфат	CAPSULE
Магний B6	Магний + пиридоксин	TABLET
Селцинк плюс	Витаминный комплекс	TABLET

# --- Добавлено, чтобы не пустовали правила из food_by_inn.tsv ---
Ксеникал	Орлистат	CAPSULE	120	MG
Орсотен	Орлистат	CAPSULE	120	MG
Фосамакс	Алендроновая кислота	TABLET	70	MG
Осталон	Алендроновая кислота	TABLET	70	MG
Бонвива	Ибандроновая кислота	TABLET	150	MG
Вентер	Сукральфат	TABLET	1000	MG
Метиндол ретард	Индометацин	TABLET	75	MG
Тетрациклин	Тетрациклин	TABLET	100	MG
Гризеофульвин	Гризеофульвин	TABLET	125	MG
