# pillbox-catalog version=2026-09-09 count=511
#
# Справочник для подсказок при вводе названия лекарства.
# Собирается из source/ скриптом tools/build_catalog.py — правьте исходники,
# а не этот файл: он перезаписывается целиком.
#
# ВАЖНО: список составлен вручную по распространённым препаратам и НЕ является
# медицинским справочником. Возможны неточности в дозировках и формах выпуска.
# Пользователь всегда видит подставленное значение и может его исправить.
#
# Колонка food — общее указание из инструкции производителя, одинаковое для
# всех наименований с этим действующим веществом. ЭТО НЕ НАЗНАЧЕНИЕ: врач
# может назначить иначе, и его назначение важнее. Приложение показывает,
# откуда взято значение, и позволяет его изменить.
#
# Хранятся только фактические сведения с упаковки: торговое наименование,
# действующее вещество, форма выпуска, дозировка и связь с едой. Описания,
# показания и инструкции защищены авторским правом и сюда попадать не должны.
#
# Формат: название;действующее вещество;форма;дозировка;единица;связь с едой
# Форма, единица и связь с едой — имена констант MedicationForm, DoseUnit
# и FoodRelation. Пустое значение означает «не указано».
name;inn;form;strength;unit;food
Амоксиклав;Амоксициллин + клавулановая кислота;TABLET;875;MG;
Амоксициллин;Амоксициллин;CAPSULE;500;MG;
Амприлан;Рамиприл;TABLET;5;MG;
Анальгин;Метамизол натрия;TABLET;500;MG;AFTER_MEAL
Анаприлин;Пропранолол;TABLET;40;MG;
Арифон ретард;Индапамид;TABLET;1,5;MG;
Аркоксиа;Эторикоксиб;TABLET;90;MG;
Артелак;Гипромеллоза;DROPS;;;
Артра;Глюкозамин + хондроитин;TABLET;;;
Артрозан;Мелоксикам;TABLET;15;MG;AFTER_MEAL
Аскорил;Комбинированный;SYRUP;;;
Аскорутин;Аскорбиновая кислота + рутозид;TABLET;;;
Аспирин Кардио;Ацетилсалициловая кислота;TABLET;100;MG;
Аспирин;Ацетилсалициловая кислота;TABLET;500;MG;
Атаканд;Кандесартан;TABLET;8;MG;
Атаракс;Гидроксизин;TABLET;25;MG;
Аторвастатин;Аторвастатин;TABLET;20;MG;
Аторис;Аторвастатин;TABLET;20;MG;
Атровент;Ипратропия бромид;INHALER;;;
Аугментин;Амоксициллин + клавулановая кислота;TABLET;;;
Афобазол;Фабомотизол;TABLET;10;MG;
Ацикловир Акри;Ацикловир;TABLET;200;MG;
Ацикловир;Ацикловир;TABLET;200;MG;
Аципол;Пробиотик;CAPSULE;;;
АЦЦ;Ацетилцистеин;POWDER;200;MG;
Аэртал;Ацеклофенак;TABLET;100;MG;AFTER_MEAL
Базирон АС;Бензоила пероксид;OINTMENT;;;
Бепантен;Декспантенол;OINTMENT;;;
Берлиприл;Эналаприл;TABLET;10;MG;
Беродуал;Комбинированный;INHALER;;;
Бетагистин;Бетагистин;TABLET;24;MG;
Беталок ЗОК;Метопролол;TABLET;50;MG;
Бетасерк;Бетагистин;TABLET;24;MG;
Бидоп;Бисопролол;TABLET;5;MG;
Бисакодил;Бисакодил;TABLET;5;MG;
Бисептол;Ко-тримоксазол;TABLET;;;
Бисопролол;Бисопролол;TABLET;5;MG;
Бифиформ;Пробиотик;CAPSULE;;;
Бонвива;Ибандроновая кислота;TABLET;150;MG;EMPTY_STOMACH
Бромгексин;Бромгексин;TABLET;8;MG;
Вазилип;Симвастатин;TABLET;20;MG;
Валериана;Валерианы экстракт;TABLET;20;MG;
Валз;Валсартан;TABLET;80;MG;
Валсартан;Валсартан;TABLET;80;MG;
Валтрекс;Валацикловир;TABLET;500;MG;
Варфарин;Варфарин;TABLET;2.5;MG;
Велаксин;Венлафаксин;CAPSULE;75;MG;
Венарус;Диосмин + гесперидин;TABLET;;;
Вентер;Сукральфат;TABLET;1000;MG;BEFORE_MEAL
Вентолин;Сальбутамол;INHALER;100;PUFF;
Верапамил;Верапамил;TABLET;80;MG;
Вермокс;Мебендазол;TABLET;100;MG;
Верошпирон;Спиронолактон;TABLET;25;MG;
Версатис;Лидокаин;PATCH;;;
Вестибо;Бетагистин;TABLET;24;MG;
Вигантол;Колекальциферол;DROPS;;;WITH_MEAL
Визин;Тетризолин;DROPS;;;
Вильпрафен;Джозамицин;TABLET;500;MG;
Випросал;Комбинированный;OINTMENT;;;
Витамин C;Аскорбиновая кислота;TABLET;500;MG;
Витамин D3;Колекальциферол;DROPS;;;WITH_MEAL
Витапрост;Пептидный препарат;SUPPOSITORY;;;
Витрум;Витаминный комплекс;TABLET;;;
Виферон;Интерферон альфа;SUPPOSITORY;;;
Вольтарен пластырь;Диклофенак;PATCH;;;AFTER_MEAL
Вольтарен;Диклофенак;OINTMENT;;;AFTER_MEAL
Галвус;Вилдаглиптин;TABLET;50;MG;
Ганатон;Итоприд;TABLET;50;MG;BEFORE_MEAL
Гастал;Комбинированный;TABLET;;;
Гексикон;Хлоргексидин;SUPPOSITORY;16;MG;
Гексорал;Гексэтидин;SPRAY;;;
Генферон;Интерферон альфа;SUPPOSITORY;;;
Гепариновая мазь;Гепарин;OINTMENT;;;
Гептрал;Адеметионин;TABLET;400;MG;
Гидрокортизон;Гидрокортизон;OINTMENT;;;
Гидрохлоротиазид;Гидрохлоротиазид;TABLET;25;MG;
Гипотиазид;Гидрохлоротиазид;TABLET;25;MG;
Глиатилин;Холина альфосцерат;CAPSULE;400;MG;
Гликлазид;Гликлазид;TABLET;60;MG;BEFORE_MEAL
Глицериновые свечи;Глицерол;SUPPOSITORY;;;
Глицин;Глицин;TABLET;100;MG;
Глюкобай;Акарбоза;TABLET;50;MG;WITH_MEAL
Глюкофаж Лонг;Метформин;TABLET;750;MG;WITH_MEAL
Глюкофаж;Метформин;TABLET;1000;MG;WITH_MEAL
Грандаксин;Тофизопам;TABLET;50;MG;
Гризеофульвин;Гризеофульвин;TABLET;125;MG;WITH_MEAL
Гутталакс;Натрия пикосульфат;DROPS;;;
Де-Нол;Висмута трикалия дицитрат;TABLET;120;MG;BEFORE_MEAL
Дезал;Дезлоратадин;TABLET;5;MG;
Дезлоратадин;Дезлоратадин;TABLET;5;MG;
Дексалгин;Декскетопрофен;TABLET;25;MG;
Дексаметазон;Дексаметазон;TABLET;0.5;MG;
Дексилант;Декслансопразол;CAPSULE;30;MG;
Депакин Хроно;Вальпроевая кислота;TABLET;500;MG;
Детралекс;Диосмин + гесперидин;TABLET;1000;MG;
Детримакс;Колекальциферол;TABLET;;;WITH_MEAL
Джардинс;Эмпаглифлозин;TABLET;10;MG;
Джес;Комбинированный;TABLET;;;
Диабетон МВ;Гликлазид;TABLET;60;MG;BEFORE_MEAL
Диазолин;Мебгидролин;TABLET;100;MG;
Диакарб;Ацетазоламид;TABLET;250;MG;
Дигоксин;Дигоксин;TABLET;0.25;MG;
Диклак;Диклофенак;TABLET;50;MG;AFTER_MEAL
Диклофенак гель;Диклофенак;OINTMENT;;;AFTER_MEAL
Диклофенак;Диклофенак;TABLET;50;MG;AFTER_MEAL
Дилатренд;Карведилол;TABLET;12,5;MG;
Дилтиазем;Дилтиазем;TABLET;60;MG;
Диротон;Лизиноприл;TABLET;10;MG;
Диувер;Торасемид;TABLET;5;MG;
Дифлюкан;Флуконазол;CAPSULE;150;MG;
Дифферин;Адапален;OINTMENT;;;
Доксициклин;Доксициклин;CAPSULE;100;MG;AFTER_MEAL
Дона;Глюкозамин;POWDER;1500;MG;
Донормил;Доксиламин;TABLET;15;MG;
Дротаверин;Дротаверин;TABLET;40;MG;
Дюспаталин;Мебеверин;CAPSULE;200;MG;BEFORE_MEAL
Дюфалак;Лактулоза;SYRUP;;;
Дюфастон;Дидрогестерон;TABLET;10;MG;
Жанин;Комбинированный;TABLET;;;
Железо;Железа сульфат;TABLET;;;BEFORE_MEAL
Зинерит;Эритромицин + цинк;OTHER;;;
Зиннат;Цефуроксим;TABLET;250;MG;
Зиртек;Цетиризин;TABLET;10;MG;
Зодак;Цетиризин;TABLET;10;MG;
Золофт;Сертралин;TABLET;50;MG;
Ибуклин;Ибупрофен + парацетамол;TABLET;;;
Ибупрофен;Ибупрофен;TABLET;400;MG;AFTER_MEAL
Изокет;Изосорбида динитрат;SPRAY;;;
Изоптин;Верапамил;TABLET;80;MG;
Изофра;Фрамицетин;SPRAY;;;
Имодиум;Лоперамид;CAPSULE;2;MG;
Индапамид;Индапамид;TABLET;2.5;MG;
Инспра;Эплеренон;TABLET;25;MG;
Ирифрин;Фенилэфрин;DROPS;;;
Ирунин;Итраконазол;CAPSULE;100;MG;WITH_MEAL
Йодбаланс;Калия йодид;TABLET;100;MG;
Йодомарин;Калия йодид;TABLET;100;MG;
Кавинтон;Винпоцетин;TABLET;5;MG;
Кальцемин;Кальций + колекальциферол;TABLET;;;WITH_MEAL
Кальций D3 Никомед;Кальций + колекальциферол;TABLET;;;WITH_MEAL
Кандесартан;Кандесартан;TABLET;8;MG;
Кандибиотик;Комбинированный;DROPS;;;
Канефрон Н;Растительный;TABLET;;;
Капотен;Каптоприл;TABLET;25;MG;BEFORE_MEAL
Карведилол;Карведилол;TABLET;12,5;MG;
Кардикет;Изосорбида динитрат;TABLET;20;MG;
Кардиомагнил;Ацетилсалициловая кислота;TABLET;75;MG;
Карсил;Силимарин;TABLET;35;MG;
Катадолон;Флупиртин;CAPSULE;100;MG;
Кеппра;Леветирацетам;TABLET;500;MG;
Кетанов;Кеторолак;TABLET;10;MG;AFTER_MEAL
Кетонал;Кетопрофен;PATCH;;;AFTER_MEAL
Кетопрофен гель;Кетопрофен;OINTMENT;;;AFTER_MEAL
Кеторол;Кеторолак;TABLET;10;MG;AFTER_MEAL
Кетотифен;Кетотифен;TABLET;1;MG;
Клайра;Комбинированный;TABLET;;;
Кларитин;Лоратадин;TABLET;10;MG;
Кларитромицин;Кларитромицин;TABLET;500;MG;
Клацид;Кларитромицин;TABLET;500;MG;
Клексан;Эноксапарин натрия;INJECTION;;;
Кленил;Беклометазон;INHALER;;;
Клопидогрел;Клопидогрел;TABLET;75;MG;
Клотримазол;Клотримазол;OINTMENT;;;
Коделак Нео;Бутамират;SYRUP;;;
Колхицин;Колхицин;TABLET;1;MG;WITH_MEAL
Комбилипен;Витамины группы B;INJECTION;;;
Компливит;Витаминный комплекс;TABLET;;;
Конкор;Бисопролол;TABLET;5;MG;
Кораксан;Ивабрадин;TABLET;5;MG;
Кордарон;Амиодарон;TABLET;200;MG;
Кордафлекс;Нифедипин;TABLET;10;MG;
Коринфар;Нифедипин;TABLET;10;MG;
Корнерегель;Декспантенол;OINTMENT;;;
Кортексин;Пептидный препарат;INJECTION;;;
Креон 10000;Панкреатин;CAPSULE;10000;IU;WITH_MEAL
Креон 25000;Панкреатин;CAPSULE;25000;IU;WITH_MEAL
Креон 40000;Панкреатин;CAPSULE;40000;IU;WITH_MEAL
Крестор;Розувастатин;TABLET;10;MG;
Ксалатан;Латанопрост;DROPS;;;
Ксарелто;Ривароксабан;TABLET;20;MG;
Ксеникал;Орлистат;CAPSULE;120;MG;WITH_MEAL
Ксефокам;Лорноксикам;TABLET;8;MG;
Ксизал;Левоцетиризин;TABLET;5;MG;
Ксилен;Ксилометазолин;SPRAY;;;
Курантил;Дипиридамол;TABLET;25;MG;
Лазикс;Фуросемид;TABLET;40;MG;
Лазолван;Амброксол;SYRUP;15;MG;
Лактофильтрум;Лигнин + лактулоза;TABLET;;;
Ламизил;Тербинафин;SPRAY;;;
Ламотриджин;Ламотриджин;TABLET;100;MG;
Ланзап;Лансопразол;CAPSULE;30;MG;BEFORE_MEAL
Леволет;Левофлоксацин;TABLET;500;MG;
Левомеколь;Комбинированный;OINTMENT;;;
Левотироксин;Левотироксин натрия;TABLET;50;MG;EMPTY_STOMACH
Левофлоксацин;Левофлоксацин;TABLET;500;MG;
Леркамен;Лерканидипин;TABLET;10;MG;
Либексин;Преноксдиазин;TABLET;100;MG;
Ливарол;Кетоконазол;SUPPOSITORY;400;MG;
Лизиноприл;Лизиноприл;TABLET;10;MG;
Лизобакт;Комбинированный;TABLET;;;
Линекс;Пробиотик;CAPSULE;;;
Лиотон 1000;Гепарин;OINTMENT;;;
Липримар;Аторвастатин;TABLET;20;MG;
Лирика;Прегабалин;CAPSULE;75;MG;
Логест;Комбинированный;TABLET;;;
Лозартан;Лозартан;TABLET;50;MG;
Локоид;Гидрокортизон;OINTMENT;;;
Лоперамид;Лоперамид;CAPSULE;2;MG;
Лоратадин;Лоратадин;TABLET;10;MG;
Лордестин;Дезлоратадин;TABLET;5;MG;
Лориста;Лозартан;TABLET;50;MG;
Маалокс;Комбинированный;SUSPENSION;;;
Магне B6;Магний + пиридоксин;TABLET;;;
Магнелис B6;Магний + пиридоксин;TABLET;;;
Магнерот;Магния оротат;TABLET;500;MG;
Магний B6;Магний + пиридоксин;TABLET;;;
Макмирор;Нифурател;TABLET;200;MG;
Максиколд;Парацетамол;POWDER;;;
Максилак;Пробиотик;CAPSULE;;;
Мальтофер;Железа гидроксид;DROPS;;;
Манинил;Глибенкламид;TABLET;3,5;MG;BEFORE_MEAL
Мезим 20000;Панкреатин;TABLET;20000;IU;WITH_MEAL
Мезим форте;Панкреатин;TABLET;3500;IU;WITH_MEAL
Мексидол;Этилметилгидроксипиридина сукцинат;TABLET;125;MG;
Мелаксен;Мелатонин;TABLET;3;MG;
Мелатонин;Мелатонин;TABLET;3;MG;
Мелоксикам;Мелоксикам;TABLET;15;MG;AFTER_MEAL
Мерказолил;Тиамазол;TABLET;5;MG;
Мертенил;Розувастатин;TABLET;10;MG;
Метиндол ретард;Индометацин;TABLET;75;MG;AFTER_MEAL
Метипред;Метилпреднизолон;TABLET;4;MG;AFTER_MEAL
Метопролол;Метопролол;TABLET;50;MG;
Метрогил;Метронидазол;OINTMENT;;;AFTER_MEAL
Метронидазол;Метронидазол;TABLET;250;MG;AFTER_MEAL
Метформин;Метформин;TABLET;1000;MG;WITH_MEAL
Миг 400;Ибупрофен;TABLET;400;MG;AFTER_MEAL
Мидокалм;Толперизон;TABLET;150;MG;
Микардис;Телмисартан;TABLET;40;MG;
Микозорал;Кетоконазол;OINTMENT;;;
Микосист;Флуконазол;CAPSULE;150;MG;
Микролакс;Натрия цитрат + натрия лаурилсульфоацетат;OTHER;;;
Мильгамма;Витамины группы B;INJECTION;;;
Мирамистин;Бензилдиметил;SPRAY;;;
Мовалис;Мелоксикам;TABLET;15;MG;AFTER_MEAL
Моноприл;Фозиноприл;TABLET;20;MG;
Моночинкве;Изосорбида мононитрат;TABLET;40;MG;
Монтелар;Монтелукаст;TABLET;10;MG;
Монурал;Фосфомицин;POWDER;3;G;
Мотилак;Домперидон;TABLET;10;MG;BEFORE_MEAL
Мотилиум;Домперидон;TABLET;10;MG;BEFORE_MEAL
Називин;Оксиметазолин;DROPS;;;
Назонекс;Мометазон;SPRAY;;;
Найз гель;Нимесулид;OINTMENT;;;AFTER_MEAL
Найз;Нимесулид;TABLET;100;MG;AFTER_MEAL
Найтифин;Нафтифин;DROPS;;;
Налгезин;Напроксен;TABLET;275;MG;AFTER_MEAL
Небиволол;Небиволол;TABLET;5;MG;
Небилет;Небиволол;TABLET;5;MG;
Нейромультивит;Витамины группы B;TABLET;;;
Нейронтин;Габапентин;CAPSULE;300;MG;
Нексиум;Эзомепразол;TABLET;20;MG;BEFORE_MEAL
Некст;Ибупрофен;TABLET;400;MG;AFTER_MEAL
Немозол;Албендазол;TABLET;400;MG;
Низорал;Кетоконазол;OINTMENT;;;
Нимесил;Нимесулид;POWDER;100;MG;AFTER_MEAL
Нимулид;Нимесулид;TABLET;100;MG;AFTER_MEAL
Нистатин;Нистатин;TABLET;500000;IU;
Нитроглицерин;Нитроглицерин;TABLET;0.5;MG;
Нитроспрей;Нитроглицерин;SPRAY;;;
Но-шпа;Дротаверин;TABLET;40;MG;
Новинет;Комбинированный;TABLET;;;
Ново-Пассит;Растительный;SYRUP;;;
Новонорм;Репаглинид;TABLET;1;MG;BEFORE_MEAL
Нолипрел;Периндоприл + индапамид;TABLET;;;
Нолицин;Норфлоксацин;TABLET;400;MG;
Нольпаза;Пантопразол;TABLET;20;MG;BEFORE_MEAL
Ноотропил;Пирацетам;TABLET;800;MG;
Норваск;Амлодипин;TABLET;5;MG;
Нормобакт;Пробиотик;POWDER;;;
Нурофен для детей;Ибупрофен;SUSPENSION;100;MG;AFTER_MEAL
Нурофен;Ибупрофен;TABLET;200;MG;AFTER_MEAL
Окомистин;Бензилдиметил;DROPS;;;
Омега-3;Омега-3 кислоты;CAPSULE;1000;MG;WITH_MEAL
Омез;Омепразол;CAPSULE;20;MG;BEFORE_MEAL
Омепразол;Омепразол;CAPSULE;20;MG;BEFORE_MEAL
Омник;Тамсулозин;CAPSULE;0.4;MG;
Орсотен;Орлистат;CAPSULE;120;MG;WITH_MEAL
Ортофен;Диклофенак;TABLET;50;MG;AFTER_MEAL
Орунгал;Итраконазол;CAPSULE;100;MG;WITH_MEAL
Осталон;Алендроновая кислота;TABLET;70;MG;EMPTY_STOMACH
Отинум;Холина салицилат;DROPS;;;
Отипакс;Комбинированный;DROPS;;;
Отофа;Рифамицин;DROPS;;;
Отривин;Ксилометазолин;SPRAY;;;
Офтагель;Карбомер;DROPS;;;
Панадол;Парацетамол;TABLET;500;MG;
Пангрол;Панкреатин;CAPSULE;10000;IU;WITH_MEAL
Панкреатин;Панкреатин;TABLET;25;PIECE;WITH_MEAL
Пантенол;Декспантенол;SPRAY;;;
Пантогам;Гопантеновая кислота;TABLET;250;MG;
Пантопразол;Пантопразол;TABLET;20;MG;BEFORE_MEAL
Панцеф;Цефиксим;TABLET;400;MG;
Парацетамол детский;Парацетамол;SYRUP;120;MG;
Парацетамол;Парацетамол;TABLET;500;MG;
Париет;Рабепразол;TABLET;20;MG;BEFORE_MEAL
Пароксетин;Пароксетин;TABLET;20;MG;
Пенестер;Финастерид;TABLET;5;MG;
Пенталгин;Комбинированный;TABLET;;;
Периндоприл;Периндоприл;TABLET;5;MG;
Персен;Растительный;TABLET;;;
Перцовый пластырь;Капсаицин;PATCH;;;
Пимафукорт;Комбинированный;OINTMENT;;;
Пимафуцин;Натамицин;SUPPOSITORY;100;MG;
Пирантел;Пирантел;SUSPENSION;;;
Плавикс;Клопидогрел;TABLET;75;MG;
Полидекса с фенилэфрином;Комбинированный;SPRAY;;;
Полидекса;Комбинированный;SPRAY;;;
Полижинакс;Комбинированный;CAPSULE;;;
Полисорб;Кремния диоксид;POWDER;;;
Прадакса;Дабигатран;CAPSULE;110;MG;
Преднизолон;Преднизолон;TABLET;5;MG;AFTER_MEAL
Предуктал;Триметазидин;TABLET;35;MG;
Престариум;Периндоприл;TABLET;5;MG;
Прокто-гливенол;Комбинированный;SUPPOSITORY;;;
Пропафенон;Пропафенон;TABLET;150;MG;
Простамол Уно;Сереноа ползучая;CAPSULE;320;MG;
Пульмикорт;Будесонид;INHALER;;;
Пустырник;Пустырника экстракт;TABLET;;;
Разо;Рабепразол;TABLET;20;MG;BEFORE_MEAL
Ранитидин;Ранитидин;TABLET;150;MG;
Регулон;Комбинированный;TABLET;;;
Рексетин;Пароксетин;TABLET;20;MG;
Релиф;Комбинированный;SUPPOSITORY;;;
Ренни;Кальция карбонат + магния карбонат;TABLET;;;
Ринонорм;Ксилометазолин;SPRAY;;;
Ринофлуимуцил;Комбинированный;SPRAY;;;
Розарт;Розувастатин;TABLET;10;MG;
Розувастатин;Розувастатин;TABLET;10;MG;
Сальбутамол;Сальбутамол;INHALER;100;PUFF;
Свечи с облепихой;Облепихового масла;SUPPOSITORY;;;
Селцинк плюс;Витаминный комплекс;TABLET;;;
Сенаде;Сеннозиды A и B;TABLET;;;
Серетид;Сальметерол + флутиказон;INHALER;;;
Сертралин;Сертралин;TABLET;50;MG;
Симбикорт;Комбинированный;INHALER;;;
Симвастатин;Симвастатин;TABLET;20;MG;
Сингуляр;Монтелукаст;TABLET;10;MG;
Синекод;Бутамират;DROPS;;;
Синупрет;Растительный;TABLET;;;
Сиофор;Метформин;TABLET;1000;MG;WITH_MEAL
Сирдалуд;Тизанидин;TABLET;4;MG;
Систейн;Увлажняющие капли;DROPS;;;
Скин-кап;Пиритион цинка;SPRAY;;;
Скинорен;Азелаиновая кислота;OINTMENT;;;
Смекта;Диоктаэдрический смектит;POWDER;3;G;
Снуп;Ксилометазолин;SPRAY;;;
Солкосерил;Депротеинизированный гемодериват;OINTMENT;;;
Сорбифер Дурулес;Железа сульфат;TABLET;100;MG;BEFORE_MEAL
Сотагексал;Соталол;TABLET;80;MG;
Спазмалгон;Комбинированный;TABLET;;;
Спирива;Тиотропия бромид;INHALER;;;
Стрепсилс;Комбинированный;TABLET;;;
Структум;Хондроитина сульфат;CAPSULE;500;MG;
Судокрем;Цинка оксид;OINTMENT;;;
Сумамед;Азитромицин;TABLET;500;MG;EMPTY_STOMACH
Супрадин;Витаминный комплекс;TABLET;;;
Супракс;Цефиксим;CAPSULE;400;MG;
Супрастин;Хлоропирамин;TABLET;25;MG;
Супрастинекс;Левоцетиризин;TABLET;5;MG;
Таваник;Левофлоксацин;TABLET;500;MG;
Тавегил;Клемастин;TABLET;1;MG;
Тамсулозин;Тамсулозин;CAPSULE;0.4;MG;
Танакан;Гинкго двулопастного листьев экстракт;TABLET;40;MG;
Тантум Верде;Бензидамин;SPRAY;;;
Тардиферон;Железа сульфат;TABLET;80;MG;BEFORE_MEAL
Тауфон;Таурин;DROPS;;;
Теветен;Эпросартан;TABLET;600;MG;
Телфаст;Фексофенадин;TABLET;120;MG;
Тенотен;Антитела к белку S-100;TABLET;;;
Терафлекс;Глюкозамин + хондроитин;CAPSULE;;;
Тербинафин;Тербинафин;OINTMENT;;;
Тержинан;Комбинированный;SUPPOSITORY;;;
Тетрациклин;Тетрациклин;TABLET;100;MG;EMPTY_STOMACH
Тизин;Ксилометазолин;SPRAY;;;
Тимолол;Тимолол;DROPS;;;
Тирозол;Тиамазол;TABLET;5;MG;
Тобрадекс;Тобрамицин + дексаметазон;DROPS;;;
Тобрекс;Тобрамицин;DROPS;;;
Торасемид;Торасемид;TABLET;5;MG;
Торвакард;Аторвастатин;TABLET;20;MG;
Тражента;Линаглиптин;TABLET;5;MG;
Трайкор;Фенофибрат;TABLET;145;MG;
Тридерм;Комбинированный;OINTMENT;;;
Тримедат;Тримебутин;TABLET;200;MG;BEFORE_MEAL
Триметазидин;Триметазидин;TABLET;35;MG;
Трихопол;Метронидазол;TABLET;250;MG;AFTER_MEAL
Троксевазин;Троксерутин;OINTMENT;;;
Тромбо АСС;Ацетилсалициловая кислота;TABLET;100;MG;
Ультоп;Омепразол;CAPSULE;20;MG;BEFORE_MEAL
Уролесан;Растительный;DROPS;;;
Урсосан;Урсодезоксихолевая кислота;CAPSULE;250;MG;WITH_MEAL
Урсофальк;Урсодезоксихолевая кислота;CAPSULE;250;MG;WITH_MEAL
Утрожестан;Прогестерон;CAPSULE;200;MG;
Феварин;Флувоксамин;TABLET;100;MG;
Фезам;Пирацетам + циннаризин;CAPSULE;;;
Фелодип;Фелодипин;TABLET;5;MG;
Фемибион;Витаминный комплекс;TABLET;;;
Фемостон;Комбинированный;TABLET;;;
Феназепам;Бромдигидрохлорфенилбензодиазепин;TABLET;1;MG;
Фенибут;Аминофенилмасляная кислота;TABLET;250;MG;
Фенистил;Диметинден;DROPS;;;
Ферретаб;Железа фумарат;CAPSULE;;;BEFORE_MEAL
Феррум Лек;Железа гидроксид;SYRUP;;;
Фестал;Панкреатин;TABLET;;;WITH_MEAL
Финастерид;Финастерид;TABLET;5;MG;
Финлепсин;Карбамазепин;TABLET;200;MG;
Фитолизин;Растительный;OINTMENT;;;
Флебавен;Диосмин + гесперидин;TABLET;;;
Флебодиа 600;Диосмин;TABLET;600;MG;
Флемоклав Солютаб;Амоксициллин + клавулановая кислота;TABLET;;;
Флемоксин Солютаб;Амоксициллин;TABLET;500;MG;
Флоксал;Офлоксацин;DROPS;;;
Флуимуцил;Ацетилцистеин;TABLET;600;MG;
Флуконазол;Флуконазол;CAPSULE;150;MG;
Флуоксетин;Флуоксетин;CAPSULE;20;MG;
Фолиевая кислота;Фолиевая кислота;TABLET;1;MG;
Форлакс;Макрогол;POWDER;10;G;
Форметин;Метформин;TABLET;850;MG;WITH_MEAL
Форсига;Дапаглифлозин;TABLET;10;MG;
Фосамакс;Алендроновая кислота;TABLET;70;MG;EMPTY_STOMACH
Фосфалюгель;Алюминия фосфат;POWDER;;;
Фраксипарин;Надропарин кальция;INJECTION;;;
Фукорцин;Комбинированный;OTHER;;;
Фурадонин;Нитрофурантоин;TABLET;100;MG;WITH_MEAL
Фурамаг;Фуразидин;CAPSULE;50;MG;
Фуросемид;Фуросемид;TABLET;40;MG;
Хартил;Рамиприл;TABLET;5;MG;
Хемомицин;Азитромицин;CAPSULE;500;MG;EMPTY_STOMACH
Хилак форте;Пробиотик;DROPS;;;
Хлоргексидин;Хлоргексидин;SPRAY;;;
Хофитол;Артишока экстракт;TABLET;;;
Целебрекс;Целекоксиб;CAPSULE;200;MG;
Целестодерм-В;Бетаметазон;OINTMENT;;;
Церебролизин;Пептидный препарат;INJECTION;;;
Церетон;Холина альфосцерат;CAPSULE;400;MG;
Церукал;Метоклопрамид;TABLET;10;MG;BEFORE_MEAL
Цетиризин;Цетиризин;TABLET;10;MG;
Цетрин;Цетиризин;TABLET;10;MG;
Цефалексин;Цефалексин;CAPSULE;500;MG;
Цефиксим;Цефиксим;TABLET;400;MG;
Цефтриаксон;Цефтриаксон;INJECTION;1;G;
